ith_CG_iter,current_time,lp_obj,nnrc_cols,min_rc,mean_rc,median_rc,stdev_rc,column_selection_time
1,0.0586581,277.5,1,-3,-3,-3,0,0
2,0.132201,275.5,1,-3,-3,-3,0,0
3,0.204453,275.5,1,-3,-3,-3,0,0
4,0.276913,274.5,1,-2,-2,-2,0,0
5,0.349357,274.25,1,-2,-2,-2,0,0
6,0.422254,273,1,-3,-3,-3,0,0
7,0.493832,273,1,-2,-2,-2,0,0
8,0.565607,273,1,-2,-2,-2,0,0
9,0.637993,273,1,-2,-2,-2,0,0
10,0.711169,272.75,1,-2,-2,-2,0,0
11,0.783622,272.688,1,-2,-2,-2,0,0
12,0.86515,271.688,1,-2,-2,-2,0,0
13,0.940538,271.25,1,-2,-2,-2,0,0
14,1.0147,271.071,1,-2,-2,-2,0,0
15,1.08831,270.4,1,-1,-1,-1,0,0
16,1.1616,269.4,1,-2,-2,-2,0,0
17,1.23697,269.389,1,-1,-1,-1,0,0
18,1.31089,269.389,1,-1,-1,-1,0,0
19,1.38742,268.389,1,-1,-1,-1,0,0
20,1.4607,268.389,1,-1,-1,-1,0,0
21,1.53559,268.389,1,-1,-1,-1,0,0
22,1.61055,268.389,1,-1,-1,-1,0,0
23,1.68502,268.386,1,-1,-1,-1,0,0
24,1.75925,268.386,1,-1,-1,-1,0,0
25,1.83354,268.385,1,-2,-2,-2,0,0
26,1.9079,268,1,-1,-1,-1,0,0
27,1.98372,267.75,1,-1,-1,-1,0,0
28,2.05775,267.75,1,-1,-1,-1,0,0
29,2.13315,267.25,1,-2,-2,-2,0,0
30,2.20926,267.125,1,-2,-2,-2,0,0
31,2.28559,267.125,1,-1,-1,-1,0,0
32,2.36037,266.667,1,-1,-1,-1,0,0
33,2.43588,266.667,1,-1,-1,-1,0,0
34,2.51105,266.667,1,-1,-1,-1,0,0
35,2.58738,266.667,1,-1,-1,-1,0,0
36,2.6629,266.3,1,-2,-2,-2,0,0
37,2.73888,266.3,1,-1,-1,-1,0,0
38,2.81462,265.667,1,-1,-1,-1,0,0
39,2.89196,265.667,1,-1,-1,-1,0,0
40,2.968,265.429,1,-1,-1,-1,0,0
41,3.04389,264.667,1,-1,-1,-1,0,0
42,3.11933,264.667,1,-1,-1,-1,0,0
43,3.19565,264.533,1,-1,-1,-1,0,0
44,3.27522,263.967,1,-1,-1,-1,0,0
45,3.35205,263.25,1,-1,-1,-1,0,0
46,3.42847,263.14,1,-1,-1,-1,0,0
47,3.50516,263.135,1,-1,-1,-1,0,0
48,3.58305,262.667,1,-1,-1,-1,0,0
49,3.66042,262.135,1,-1,-1,-1,0,0
50,3.73986,262.135,1,-1,-1,-1,0,0
51,3.81803,262.135,1,-1,-1,-1,0,0
52,3.89507,261.542,1,-1,-1,-1,0,0
53,3.9718,261.542,1,-1,-1,-1,0,0
54,4.05014,261.375,1,-2,-2,-2,0,0
55,4.12806,261.375,1,-1,-1,-1,0,0
56,4.20625,261.375,1,-1,-1,-1,0,0
57,4.28485,260.875,1,-1,-1,-1,0,0
58,4.36347,260.604,1,-1,-1,-1,0,0
59,4.44234,260.438,1,-1,-1,-1,0,0
60,4.52057,260.094,1,-1,-1,-1,0,0
61,4.59945,260.094,1,-1,-1,-1,0,0
62,4.67897,259.5,1,-1,-1,-1,0,0
63,4.75759,258.875,1,-1,-1,-1,0,0
64,4.83627,258.375,1,-1,-1,-1,0,0
65,4.91459,258.375,1,-1,-1,-1,0,0
66,4.99354,257.375,0,0,0,0,0,0
