ith_CG_iter,current_time,lp_obj,nnrc_cols,min_rc,mean_rc,median_rc,stdev_rc,column_selection_time
1,0.0598249,277.5,271,-1.5,-0.797048,-1,0.260128,0
2,0.184813,256.5,177,-1,-0.548023,-0.5,0.147327,0
3,0.33455,246.333,170,-0.666667,-0.290196,-0.333333,0.130742,0
4,0.501532,241.25,93,-0.5,-0.274194,-0.25,0.0739125,0
5,0.676008,238.5,110,-0.333333,-0.209091,-0.166667,0.0726009,0
6,0.86423,235.207,207,-0.307692,-0.079385,-0.0673077,0.0635688,0
7,1.07505,232.5,49,-0.3,-0.157143,-0.2,0.0534522,0
8,1.28949,231.263,109,-0.157895,-0.0753259,-0.0526316,0.0321745,0
9,1.51118,230.417,29,-0.333333,-0.172414,-0.166667,0.0845629,0
10,1.73703,230,15,-0.25,-0.25,-0.25,5.73317e-17,0
11,1.96548,229.5,32,-0.166667,-0.104167,-0.0833333,0.0360844,0
12,2.20658,229.167,10,-0.166667,-0.166667,-0.166667,1.84528e-16,0
13,2.45829,229.081,136,-0.111111,-0.0303959,-0.0227273,0.0216244,0
14,2.71886,228.25,6,-0.25,-0.25,-0.25,0,0
15,2.97122,228.25,9,-0.25,-0.25,-0.25,0,0
16,3.22674,228.079,79,-0.075188,-0.028362,-0.0225564,0.0189798,0
17,3.49036,227.667,4,-0.166667,-0.166667,-0.166667,9.61481e-17,0
18,3.75935,227.614,70,-0.0942029,-0.0199534,-0.0108696,0.0207154,0
19,4.03663,227.333,10,-0.166667,-0.166667,-0.166667,1.55827e-15,0
20,4.31811,227.184,66,-0.0514342,-0.0120043,-0.00890208,0.0105453,0
21,4.62291,227.103,57,-0.0658097,-0.0133778,-0.00802988,0.0156233,0
22,4.92526,227.014,41,-0.074813,-0.0164528,-0.0124688,0.0141691,0
23,5.22206,227,3,-0.166667,-0.166667,-0.166667,1.81299e-16,0
24,5.54358,226.736,45,-0.04176,-0.0129817,-0.00895798,0.0122544,0
25,5.85914,226.654,41,-0.037412,-0.0108558,-0.00448786,0.0118666,0
26,6.1804,226.557,47,-0.0393013,-0.010917,-0.00873362,0.0092305,0
27,6.49601,226.5,0,0,0,0,0,0
